"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람 경험 없음,전체평균,관람자평균,표본수,1회,2회,3회,4회 이상,관람자평균
"동거가구원수별",5인 이상,11.3,3.7,0.7,1.8,82.5,0.88,5.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,13,5.7,0.9,3.2,77.1,0.88,3.84,2891,11.1,4.8,2.1,3.8,78.1,0.65,3036,18.5,7.3,1.7,3.1,69.4,0.58,1.91,2962,13.2,7.7,3.8,2.5,72.9,0.58,2.12,3063,4.7,2.2,0.8,1.2,91.1,0.2,2.29,2980,0.9,0.3,0.1,0.3,98.4,0.04,2.7,2338,6.9,2.7,0.6,0.3,89.4,0.16,1.54,369,65.1,27.6,4.7,2.6,1.53
"혼인상태별",기혼,7.3,2.1,0.5,1.5,88.6,0.35,3.08,6890,5.9,2.3,0.8,3.3,87.8,0.49,6173,13,2.9,0.9,0.9,82.3,0.27,1.5,6003,10.8,6.5,4,1.5,77.3,0.47,2.05,5799,4.3,1.6,0.5,0.4,93.2,0.14,2.07,5673,0.8,0.3,0,0.1,98.7,0.02,1.82,6838,5,1,0.1,0.2,93.7,0.1,1.54,585,73.2,17.2,4.1,5.5,1.53
"혼인상태별",사별/이혼/기타,3.6,1.3,0.5,1.2,93.4,0.21,3.24,935,4.5,0.8,0.8,2.2,91.8,0.31,1349,12.8,1.7,0.8,0.6,84.1,0.22,1.38,1137,7.6,3,3.1,0.9,85.4,0.32,2.2,1237,3.8,0.6,0.3,0.6,94.8,0.18,3.39,1407,0.5,0.3,0.1,0.1,99.1,0.02,2.67,963,4.7,0.2,-,0.1,95,0.05,1.09,56,55.7,20,6.4,17.9,2.28
"가구주여부별",가구주,6.9,2,0.5,1.6,89,0.3,2.76,4692,5.1,2.1,1,3.3,88.5,0.51,5511,12.2,3,0.8,1,83,0.26,1.53,4892,9.5,5.6,3.3,1.6,80,0.45,2.23,4954,3.5,1.4,0.5,0.6,94,0.16,2.71,5213,0.5,0.3,0,0.1,99,0.02,2.44,4648,4.6,0.7,0.1,0.2,94.4,0.08,1.44,393,69.4,18.1,4.4,8.2,1.73
"가구주여부별",가구주 아님,9.9,3.9,0.7,2.3,83.1,0.64,3.77,6024,8.6,3.4,1.2,3.4,83.4,0.54,5047,16.3,4.9,1.4,1.8,75.5,0.42,1.73,5210,12.5,7.3,4.3,1.7,74.2,0.51,1.99,5145,5,1.9,0.6,0.7,91.8,0.16,1.95,4847,1.1,0.3,0.1,0.2,98.3,0.03,2.04,5491,6.2,1.9,0.4,0.2,91.3,0.14,1.56,617,69.6,22.7,4.4,3.3,1.48
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3821,5.7,1.5,0.2,0.2,92.4,0.11,1.47,459,74.2,16.7,4.2,4.9,1.55
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,622,4.8,2,0.7,-,92.5,0.11,1.45,58,70.1,25.8,1.7,2.5,1.54
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253,6.2,0.6,0.3,-,92.8,0.08,1.17,18,70.9,27,-,2.1,1.35
"종사자지위별",고용원이 있는 자영업자,7,4.1,0.8,1.5,86.6,0.39,2.9,264,6.8,3.9,0.6,3,85.8,0.46,283,14.3,3.4,0.6,0.4,81.3,0.25,1.31,297,13.3,3.8,1.9,2,79.1,0.44,2.11,314,5.6,2.6,0.8,0.8,90.1,0.19,1.89,305,0.4,0.2,-,-,99.4,0.01,1.31,300,8.4,0.7,-,0.6,90.3,0.23,2.4,35,67.8,19.7,7.5,5,1.5
