"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),사례수 (명),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬미팅(싸인회) 참석하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),팬클럽이나 팬카페 활동하기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),방송국이나 공연장 영화관(시사회) 경기장 행사장가기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),팬레터 쓰기 및 메시지 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),선물 보내기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),SNS 블로그 트위터 기사 등에 댓글 달기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),사진과 동영상 감상 및 업로드하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),책 CD DVD 화보집 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%),굿즈(응원봉 캐릭터 플래카드 인형 등) 만들기 또는 구입하기 (%)
"특성별(1)",특성별(2),소계,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번,전혀없다,1년에 1~2번,한 달에 1번,한 달에 2~3번,1주일에 1번,1주일에 여러 번
"시도별",서울,150,85.7,11.6,2.0,0.0,0.7,77.7,8.9,3.1,3.8,0.0,6.5,72.3,18.2,7.8,1.1,0.0,0.7,82.8,12.6,2.1,0.9,0.0,1.6,90.7,5.6,3.0,0.7,59.2,19.0,3.7,4.5,1.8,11.8,41.1,13.0,8.8,5.0,6.3,25.8,57.5,25.8,8.7,2.9,0.7,4.4,70.2,15.1,8.8,3.8,0.0,2.2
"시도별",부산,38,100.0,0.0,0.0,0.0,0.0,91.8,2.1,1.4,0.0,2.6,2.1,97.9,2.1,0.0,0.0,0.0,0.0,92.5,4.4,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,40.1,19.5,8.3,5.1,23.5,3.5,63.7,9.2,7.0,5.6,5.1,9.3,82.2,13.2,2.6,0.0,0.0,2.1,88.6,6.8,2.6,2.1,0.0,0.0
"시도별",대구,45,100.0,0.0,0.0,0.0,0.0,88.4,1.9,2.2,2.8,0.0,4.7,93.7,6.3,0.0,0.0,0.0,0.0,84.3,12.9,2.8,0.0,0.0,0.0,95.3,4.7,0.0,0.0,45.6,19.7,9.3,10.9,0.0,14.5,42.7,13.8,5.0,7.2,1.9,29.4,58.7,31.6,9.7,0.0,0.0,0.0,65.5,31.7,2.8,0.0,0.0,0.0
"시도별",인천,76,98.9,1.1,0.0,0.0,0.0,84.1,8.8,0.6,5.6,0.8,0.0,88.8,10.7,0.5,0.0,0.0,0.0,93.0,7.0,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,73.3,18.7,3.5,3.2,1.4,0.0,41.6,20.3,8.0,2.9,11.2,16.0,59.2,38.1,2.7,0.0,0.0,0.0,73.0,26.4,0.6,0.0,0.0,0.0
"시도별",광주,32,95.9,2.0,2.1,0.0,0.0,73.9,0.0,4.1,2.0,14.7,5.3,90.6,7.3,2.1,0.0,0.0,0.0,91.8,2.1,4.1,0.0,0.0,2.0,97.9,0.0,2.1,0.0,54.4,7.3,28.1,2.1,4.1,4.1,35.4,4.1,23.2,2.1,16.5,18.7,72.8,13.7,6.2,4.1,0.0,3.2,64.5,25.3,4.1,2.1,4.1,0.0
"시도별",대전,31,100.0,0.0,0.0,0.0,0.0,95.6,0.0,0.0,4.4,0.0,0.0,94.3,2.9,2.9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.8,0.0,2.2,0.0,49.1,19.4,0.0,31.6,0.0,0.0,19.7,0.0,27.3,19.1,28.7,5.1,67.6,29.5,2.9,0.0,0.0,0.0,72.7,27.3,0.0,0.0,0.0,0.0
"시도별",울산,20,100.0,0.0,0.0,0.0,0.0,80.6,2.9,0.0,0.0,9.7,6.8,82.9,17.1,0.0,0.0,0.0,0.0,93.2,6.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.7,14.2,8.5,0.0,6.8,9.7,30.1,30.2,0.0,2.9,0.0,36.9,46.6,53.4,0.0,0.0,0.0,0.0,55.5,39.1,5.4,0.0,0.0,0.0
"시도별",세종,6,100.0,0.0,0.0,0.0,0.0,87.5,12.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,92.1,7.9,0.0,0.0,64.6,28.5,6.9,0.0,0.0,0.0,44.1,26.3,14.8,0.0,0.0,14.8,70.3,29.7,0.0,0.0,0.0,0.0,63.5,36.5,0.0,0.0,0.0,0.0
"시도별",경기,232,91.7,7.4,0.9,0.0,0.0,82.6,10.3,2.7,1.2,0.0,3.2,80.4,14.8,2.3,2.3,0.3,0.0,91.1,6.1,1.0,0.6,0.0,1.2,94.9,4.4,0.7,0.0,60.6,18.1,6.4,7.2,1.9,5.9,36.2,13.8,11.0,9.7,7.4,22.0,63.2,26.1,5.0,3.8,0.2,1.6,72.6,16.5,4.8,2.4,1.5,2.1
"시도별",강원,27,97.1,2.9,0.0,0.0,0.0,93.7,0.0,0.0,4.9,0.0,1.4,86.1,7.7,3.8,2.4,0.0,0.0,85.4,13.2,0.0,0.0,0.0,1.4,96.2,0.0,0.0,3.8,72.6,11.5,9.7,2.4,0.0,3.8,27.8,7.3,3.8,1.4,20.8,38.9,82.7,11.1,2.4,0.0,0.0,3.8,87.8,5.9,0.0,2.4,0.0,3.8
"시도별",충북,7,100.0,0.0,0.0,0.0,0.0,62.9,6.3,24.6,0.0,6.3,0.0,93.7,6.3,0.0,0.0,0.0,0.0,93.7,6.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,44.5,6.3,18.3,0.0,0.0,30.9,38.3,6.3,18.3,0.0,6.3,30.9,50.8,42.9,0.0,0.0,6.3,0.0,69.1,24.6,0.0,6.3,0.0,0.0
"시도별",충남,17,77.4,18.9,0.0,3.7,0.0,70.1,0.0,0.0,6.3,11.0,12.6,59.3,23.6,10.8,6.3,0.0,0.0,64.8,28.9,0.0,6.3,0.0,0.0,81.1,18.9,0.0,0.0,28.4,5.2,11.0,23.9,12.6,18.9,3.7,5.2,0.0,17.6,14.0,59.5,40.5,6.3,15.5,25.2,12.5,0.0,38.0,27.6,21.8,12.6,0.0,0.0
"시도별",전북,44,99.2,0.8,0.0,0.0,0.0,67.8,5.7,9.1,13.0,1.7,2.7,93.5,6.5,0.0,0.0,0.0,0.0,96.8,0.0,0.0,1.6,1.6,0.0,97.6,0.8,1.6,0.0,52.5,6.8,19.2,8.6,0.8,12.1,41.6,14.4,9.5,10.9,10.2,13.5,45.6,39.3,7.2,0.0,7.9,0.0,54.6,20.9,15.9,6.2,1.6,0.8
"시도별",전남,29,100.0,0.0,0.0,0.0,0.0,84.2,15.8,0.0,0.0,0.0,0.0,97.5,2.5,0.0,0.0,0.0,0.0,86.7,10.9,0.0,0.0,2.5,0.0,95.0,0.0,2.5,2.5,65.0,17.9,17.1,0.0,0.0,0.0,34.9,11.6,11.1,14.5,9.0,18.9,61.1,16.7,5.6,2.5,2.9,11.2,89.8,2.1,3.2,0.0,2.5,2.5
"시도별",경북,55,96.6,3.4,0.0,0.0,0.0,76.2,12.4,1.4,3.7,0.0,6.4,70.6,23.2,0.0,4.9,1.2,0.0,85.7,8.6,0.0,0.0,0.0,5.7,94.2,4.6,1.2,0.0,57.1,1.5,11.6,11.9,8.0,9.8,33.6,5.4,15.1,12.1,8.2,25.6,58.2,34.6,2.6,1.5,3.0,0.0,63.9,26.7,6.3,3.1,0.0,0.0
"시도별",경남,64,97.7,2.3,0.0,0.0,0.0,83.1,2.3,3.2,3.9,0.0,7.6,88.6,8.4,3.0,0.0,0.0,0.0,89.9,5.6,1.4,3.1,0.0,0.0,99.3,0.7,0.0,0.0,58.9,15.7,4.0,3.1,10.6,7.7,48.5,6.4,2.0,15.7,7.4,20.0,57.8,17.7,12.6,4.0,4.0,3.9,70.2,5.5,12.6,6.3,1.6,3.9
"시도별",제주,18,100.0,0.0,0.0,0.0,0.0,67.3,0.0,13.5,0.0,9.6,9.6,81.8,18.2,0.0,0.0,0.0,0.0,77.9,22.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,45.7,16.8,8.6,0.0,19.2,9.6,0.0,12.9,12.5,0.0,9.6,64.9,52.8,33.2,9.6,4.3,0.0,0.0,66.8,19.2,9.6,4.3,0.0,0.0
"시도별",해당없음,2,51.5,48.5,0.0,0.0,0.0,83.9,0.0,16.1,0.0,0.0,0.0,67.7,32.3,0.0,0.0,0.0,0.0,83.9,16.1,0.0,0.0,0.0,0.0,51.5,48.5,0.0,0.0,65.5,18.4,0.0,16.1,0.0,0.0,52.1,0.0,18.4,0.0,0.0,29.5,51.5,48.5,0.0,0.0,0.0,0.0,83.9,0.0,0.0,16.1,0.0,0.0
